state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,churn
RI,33,area_code_202,yes,yes,46,239.8231267,122,13.28201474,235.8382239,64,45.37843231,243.2184841,149,17.36313131,15.48816713,13,9.590440205,7,no
NH,53,area_code_293,no,no,6,291.9403663,50,39.04029896,230.832576,55,28.3198242,134.7424815,130,26.5897111,5.879456139,5,8.851089043,0,no
IA,22,area_code_265,yes,no,25,159.9351216,91,26.33710756,84.01405861,122,25.49757628,85.77034885,86,38.55822418,9.478982784,6,4.34290583,6,no
TX,21,area_code_970,yes,yes,39,119.5921204,68,15.16052985,259.0197252,133,6.387107841,264.4722963,93,14.23722535,14.20099097,1,3.269381654,8,no
DE,70,area_code_189,yes,no,4,249.5732993,146,32.74798902,88.69650871,147,44.56419519,127.2152248,58,18.1807586,2.512708775,10,2.726854572,2,yes
MA,70,area_code_785,yes,yes,20,131.5634795,83,6.815023346,125.2938967,87,5.585459604,214.7138511,107,20.57499442,12.29641927,5,5.558891263,6,yes
RI,4,area_code_221,no,no,13,124.8458434,129,19.67766144,112.2442248,75,47.51375361,191.6109213,69,38.60268967,12.19815108,1,1.585360306,5,no
ME,94,area_code_242,no,no,3,108.1264981,104,26.08506476,143.0767746,131,27.01473119,167.9390773,141,43.11151698,14.00034551,11,5.718112577,6,yes
MN,75,area_code_205,yes,yes,22,82.41974456,67,11.65812503,113.6659415,141,20.38705221,173.9548682,99,21.93748234,8.028633811,7,0.512669575,6,yes
HI,62,area_code_986,no,yes,41,114.1157653,83,49.30945149,172.2377316,100,46.58982957,233.0594785,69,18.34793878,9.530615707,18,3.576571492,9,no
HI,62,area_code_527,yes,yes,19,138.8299371,138,14.40938141,151.8519703,122,6.09759469,71.94322853,85,45.02510413,7.269416965,10,2.589375981,0,no
MS,94,area_code_404,yes,yes,14,218.498552,94,10.86589085,296.6423727,145,31.16412027,217.0451655,76,49.97142195,16.3551967,15,9.726578505,2,no
OK,95,area_code_971,yes,yes,49,65.64121055,55,14.15906932,63.98158753,102,29.7019636,273.9530253,121,35.16591378,3.481604441,4,7.408802036,9,yes
SC,24,area_code_416,yes,no,44,102.6267349,70,39.60775099,85.5453441,105,14.86941805,64.44704925,81,49.54912767,19.29612512,16,3.821707114,0,no
MS,55,area_code_734,no,no,28,252.2559101,119,24.14775467,63.20647348,108,24.29993441,85.16333481,50,34.6984825,13.06188696,15,1.382028322,4,yes
AZ,9,area_code_108,yes,no,7,86.7304809,145,30.44371729,206.4602987,119,34.35188027,229.1579842,66,38.00571224,17.85122776,15,5.40960565,2,no
MI,3,area_code_873,yes,no,40,135.6612866,97,5.945412064,63.62731935,127,37.72090386,159.3204121,58,22.48952007,9.098397707,12,2.527754873,0,no
AK,31,area_code_172,no,no,47,266.1647305,88,6.549408886,259.1099343,141,5.032258642,150.8871552,133,24.48353961,7.313302337,8,5.596080686,1,yes
MS,40,area_code_458,yes,no,18,88.73132779,80,25.06214974,177.9846577,107,47.15840435,84.24165864,94,11.48610488,18.11379039,8,8.435942365,9,yes
UT,36,area_code_322,yes,no,47,70.6842089,59,41.74948594,181.7519061,137,12.40364176,176.6925102,145,42.02375066,2.878587549,18,6.350029245,4,yes
NJ,24,area_code_515,yes,yes,38,171.1344988,79,44.83574954,190.3986269,62,15.51111954,81.6363278,115,46.89765639,3.225037399,6,6.520989986,2,yes
PA,95,area_code_652,no,yes,45,125.6048778,67,8.901795542,92.70342658,92,16.85630506,169.1551141,81,33.05471602,6.687588753,5,5.639787746,5,yes
AK,6,area_code_469,yes,no,27,190.8520911,109,29.22633959,99.42257578,125,6.701906145,240.9038247,94,20.46412888,19.23572465,2,9.30902351,8,yes
MA,66,area_code_815,no,no,45,250.9512226,137,46.09533588,129.7043307,100,10.53734556,114.5660895,58,11.93073464,13.02830359,12,9.353075502,5,no
NC,84,area_code_363,yes,yes,26,84.28712204,122,22.45877395,198.374104,68,49.38574653,170.196542,79,16.93203034,11.52968024,4,5.37087041,1,yes
ID,92,area_code_939,yes,yes,3,195.1747711,144,42.33046241,102.529444,70,19.18475318,298.0039923,133,16.49346894,14.40177039,13,3.404715128,1,yes
MI,75,area_code_789,no,yes,14,176.3771901,64,11.01630445,79.08293178,140,10.18854907,221.6626058,87,32.60875479,8.932016565,17,4.866076556,7,no
UT,4,area_code_959,yes,yes,34,86.0196965,53,47.09275204,292.5292216,132,9.814606753,260.3391928,109,47.52668594,15.40339653,16,2.272300166,7,yes
MO,79,area_code_417,yes,no,36,205.9996214,112,38.81404929,55.4954537,73,37.37569855,153.7119016,50,7.172234913,8.471383261,9,6.545270996,5,yes
WI,6,area_code_183,no,yes,0,118.4101045,89,47.36004768,250.6743513,75,43.45558988,241.9652308,54,5.046003482,16.70090051,1,5.25087719,9,no
NE,94,area_code_417,no,no,2,171.9585796,58,35.44777551,247.0087874,94,16.56285348,60.12729324,112,32.00818749,6.078606559,15,1.481354539,6,no
TN,51,area_code_210,no,no,46,70.56808107,58,21.35317694,124.3035285,77,5.940928055,80.72779564,148,17.78272079,6.273386527,12,2.377653921,0,no
NV,62,area_code_350,no,no,23,164.8960143,75,47.21815276,83.906654,131,15.03905083,100.7676482,85,44.62467541,10.9252828,5,5.056503584,8,yes
KS,57,area_code_482,no,yes,26,126.615867,53,17.40050493,86.40716168,149,7.543206086,150.4879812,114,19.72626386,9.184462009,18,8.932095412,4,no
IA,66,area_code_106,yes,yes,39,255.5953028,130,19.94776349,224.3579043,78,9.652772148,261.4362196,127,18.03819202,13.31420104,2,5.880711846,8,yes
WA,79,area_code_558,no,no,35,64.24468175,65,36.53637881,210.7016478,66,24.41786539,136.5665127,122,17.12797795,7.921524339,4,6.974582502,1,no
UT,75,area_code_183,yes,no,33,154.6518187,64,39.43923348,245.6864186,117,15.34632669,213.6552984,143,11.51837723,5.380462332,15,3.720771223,7,yes
AZ,8,area_code_307,yes,no,28,164.607856,148,46.82315677,284.3702931,93,28.21756453,227.3285737,73,31.16887134,9.926362695,6,5.928408234,6,no
OR,26,area_code_999,yes,yes,23,231.2515191,101,14.21610841,222.9818408,110,16.4072189,196.5455885,53,12.56961211,11.65817349,12,4.750108315,3,no
CT,51,area_code_489,no,no,23,193.5718938,118,40.90991158,88.96288414,142,47.32417855,139.310492,127,24.10840219,3.709401023,18,6.76173417,2,no
MA,45,area_code_413,no,yes,41,216.8030843,54,38.2345724,110.8606542,117,45.76747856,194.2633354,138,25.74374235,11.57765389,4,0.980467878,3,yes
FL,44,area_code_121,yes,no,3,244.2623214,69,7.870755031,260.5484327,123,30.50627473,135.5663982,117,5.92214211,7.0658774,1,5.186352054,3,yes
RI,5,area_code_509,no,no,2,265.5507434,128,22.42504135,102.326519,74,20.94907964,70.96843464,74,5.756327592,8.456585813,15,3.311929939,9,no
LA,70,area_code_994,no,no,33,128.4688742,67,17.72444557,68.13057924,144,22.15160969,298.2009945,123,28.40957099,6.307044452,18,3.598758082,9,no
AR,26,area_code_614,no,yes,48,184.5056763,51,18.7020691,225.8200135,116,23.53335274,81.79561341,148,36.32156295,18.69679623,14,9.6287156,7,no
MO,68,area_code_226,no,yes,22,260.0270196,142,49.23260958,150.6315889,51,37.7410695,68.08709596,56,47.3964117,13.98338934,3,2.235600721,3,no
IN,19,area_code_908,yes,no,22,297.3627827,62,33.92498361,280.0100131,138,25.3237548,269.6326873,62,13.06036779,5.986745917,15,3.456829899,4,yes
WY,84,area_code_799,yes,yes,44,272.3798278,53,37.2954271,212.5637678,98,43.55284759,125.4586652,117,9.646646425,13.25559536,5,5.343979469,1,no
FL,97,area_code_973,no,no,4,142.8668157,91,48.94779368,72.60474445,119,47.48426537,212.5742435,92,7.343955812,17.12287578,3,8.698756007,3,no
MT,20,area_code_113,yes,yes,30,98.7916293,123,21.97408021,286.9641418,75,20.1175769,132.2514324,106,24.62187123,8.630973958,7,4.45836579,6,yes
AK,12,area_code_111,no,yes,40,172.3481344,110,41.08280758,114.6393159,121,30.23125166,147.8635677,85,33.04163153,16.76919267,6,7.566720168,2,yes
MD,47,area_code_186,no,yes,5,235.410363,144,24.55389335,134.3031226,148,9.277544157,115.528243,63,42.82490105,3.933883942,1,8.635553933,0,no
NV,1,area_code_623,yes,no,36,173.1422677,57,44.12901523,150.5651034,76,14.02110715,135.7610014,131,35.7190197,16.63284593,19,3.44515538,7,no
WA,90,area_code_636,yes,yes,9,170.7952158,116,13.12958936,62.8060741,138,23.6059595,152.6751001,121,14.37623551,11.26559061,7,4.231126744,7,yes
CT,14,area_code_400,yes,yes,39,259.5576053,112,47.64587797,174.1288556,67,14.27912222,230.1040173,145,25.77966649,5.236515272,4,3.887284125,5,yes
UT,64,area_code_342,no,no,6,140.3509448,58,14.84472688,80.82962277,103,44.44522209,177.8840486,76,45.96558558,8.735686307,12,8.412130182,6,no
DE,38,area_code_221,yes,no,38,264.9486687,143,19.67992281,150.2425817,50,12.12288152,285.8913043,86,19.70334781,19.77186686,18,0.921295189,9,yes
WA,37,area_code_246,no,no,37,151.7012002,60,39.02865053,137.677447,110,25.50473697,60.47009846,136,27.44286643,15.88756432,9,3.430000344,1,yes
OH,11,area_code_666,yes,no,20,132.0582764,148,22.71898137,243.2100209,52,32.25646582,175.7670807,120,48.13544006,11.92664087,19,6.954381297,4,no
IN,77,area_code_849,yes,yes,19,163.4974778,91,32.36951195,250.7926279,117,36.13387587,196.0561972,125,38.06186025,3.188114326,4,5.871713246,6,no
KY,3,area_code_455,no,yes,2,240.6117397,62,25.00580755,88.3532206,90,22.23812164,280.0492465,74,38.64831735,8.938420075,1,4.644748913,8,yes
OK,33,area_code_784,no,yes,21,81.50050697,85,38.40664717,141.6377968,86,44.10945809,62.28963091,116,16.3550302,5.997978766,9,5.629508159,0,no
WY,6,area_code_832,no,yes,46,99.10480397,62,15.27490636,143.3382903,100,30.5743618,193.3748962,139,23.66141532,2.349020511,15,2.377053565,2,no
SC,50,area_code_730,no,yes,3,287.8612064,61,7.630609426,87.85261098,64,24.77785012,263.4074821,53,8.705397339,11.30188339,8,4.591807905,5,no
AR,10,area_code_408,no,no,27,93.87290685,86,18.49682289,249.6133763,57,8.025828532,110.481932,149,32.29366402,17.8945283,15,5.26617835,6,no
AK,5,area_code_794,no,yes,11,191.9318295,123,26.34388992,226.8070821,87,25.91102608,269.0730871,128,9.667857404,13.8363975,15,9.061296659,5,no
CO,23,area_code_387,no,yes,37,194.8286167,122,12.56090235,97.59544657,132,41.93311284,54.76085232,145,42.6159312,5.743927372,18,2.977934047,0,yes
TN,10,area_code_406,no,yes,35,172.4061155,101,20.96587803,141.6804771,105,32.65434582,233.1136573,142,41.65492042,11.89810753,7,8.744370771,3,yes
AR,44,area_code_911,yes,no,46,211.1863121,120,22.99923582,76.45125621,96,42.44731042,283.2783053,123,29.01222955,18.92145138,18,6.620293308,5,no
NH,2,area_code_693,no,no,40,107.4566814,51,7.582632966,207.0516493,139,27.23052518,214.2994154,134,11.35247149,14.73538601,16,0.693237895,7,no
LA,13,area_code_822,no,yes,4,188.1655669,105,31.24882617,80.34298114,59,10.33077673,159.757311,65,6.151054244,14.10000409,2,7.383997701,9,no
MT,40,area_code_761,yes,no,12,143.0433138,109,44.79545426,296.4835422,127,5.613793063,61.22025412,68,40.85189004,19.39500516,4,0.837742837,3,yes
UT,2,area_code_648,no,no,22,215.4168149,72,11.82843108,245.1705187,98,18.6448796,280.0284533,78,32.00632174,16.17859291,16,9.975120705,6,yes
ND,84,area_code_451,yes,no,49,85.30588584,89,31.9013606,147.5596374,90,36.40957122,167.5740557,100,36.99183365,3.595847319,3,8.790048533,2,yes
GA,65,area_code_411,yes,no,29,192.7193542,113,34.91326422,194.6409831,132,40.56169568,57.24918608,67,18.67132066,7.605066653,2,3.324765602,7,yes
OK,63,area_code_972,no,no,36,96.31758885,134,23.87006062,277.8354541,79,18.30887756,222.4552678,107,27.9267232,19.33767331,3,2.945406687,0,no
IN,73,area_code_158,yes,no,24,119.6607658,72,36.54939143,188.5248201,54,27.30442644,170.4593134,93,38.62283767,10.30440249,5,4.12369028,3,no
NM,17,area_code_742,no,no,47,104.6774501,78,23.48291946,93.6246216,144,23.9503507,81.08632936,65,25.81534887,3.121111461,2,3.88358617,7,yes
WV,9,area_code_813,yes,yes,26,95.70944497,127,27.70867796,144.6758389,120,23.4735253,103.5679523,114,32.06229002,9.713492714,19,4.037209275,9,yes
IA,75,area_code_854,yes,yes,13,256.4277379,139,5.330887005,260.7862163,132,15.41069209,66.12267011,51,40.53777178,14.24287145,2,3.523627188,3,no
DE,15,area_code_134,yes,no,47,121.4268919,100,36.12740514,211.053254,80,11.13669973,193.5733849,105,14.68492904,19.95341621,2,6.400767365,1,no
IN,24,area_code_544,no,yes,46,281.7809455,118,34.76042055,212.6810961,101,13.85098512,205.5073698,128,7.966800021,7.154201015,18,2.060504805,1,no
MN,38,area_code_192,no,yes,35,292.4816313,144,6.72803948,266.7053714,137,7.489957422,176.4355746,77,28.93205799,10.76765062,14,8.536822278,3,no
SC,35,area_code_306,yes,no,38,192.8151175,138,21.57125483,273.4932644,147,13.91588338,254.2755333,114,7.795659682,17.71393339,15,8.217823598,3,no
MA,94,area_code_452,yes,yes,15,85.75028067,80,49.05643284,279.9481429,72,5.414040393,265.2522053,54,39.49507825,7.750077143,12,5.026590475,1,yes
KS,95,area_code_431,no,no,21,143.6370608,99,23.93314532,73.71229831,97,33.22662803,203.9060992,71,37.36451514,3.075969575,11,8.60093467,6,no
VT,49,area_code_916,no,no,20,249.4330658,69,27.58754323,186.0315005,89,19.23689333,53.18911993,149,44.67707022,19.02978163,11,2.847878165,5,yes
LA,69,area_code_961,yes,no,20,141.8476822,104,45.94685712,235.1273803,55,48.79151201,223.8074139,62,33.78029441,10.28037533,7,0.666871829,2,yes
WA,62,area_code_824,yes,yes,7,71.75430458,130,37.27678441,239.2317113,87,13.71726728,154.4998042,114,8.023890684,10.5528905,12,6.382475288,7,no
MS,60,area_code_258,no,yes,48,189.1962277,51,31.1931559,201.6790505,90,20.56228566,191.3893708,65,16.39184565,12.80280275,16,4.850139366,7,yes
MT,50,area_code_123,no,yes,15,261.2802129,74,40.90121066,91.6968338,149,21.10285214,212.2701505,135,41.35693301,1.06719585,5,5.88806319,0,yes
MO,78,area_code_503,no,yes,30,248.9815968,62,43.89648199,249.3551385,76,5.380317323,137.5591536,113,12.52095878,18.69149234,2,9.043724386,2,no
VT,75,area_code_904,no,no,41,93.78078503,141,25.55996323,230.0278334,124,42.76435789,279.2746263,81,36.43162105,7.867570611,16,9.714292949,4,yes
SD,9,area_code_615,no,no,9,218.1911536,119,26.37987642,71.53394289,118,6.439750706,83.49371669,129,40.11166989,8.541705385,15,6.527304828,1,no
NH,34,area_code_831,yes,yes,31,105.1260659,116,22.3722921,165.9524562,106,47.30809256,217.8779518,100,19.8550309,4.308075703,11,7.758528104,4,no
IA,76,area_code_463,no,no,33,104.5518836,107,48.5017763,93.49434988,66,45.1433458,51.08989499,128,19.5033863,8.184880653,6,1.296180118,9,yes
VT,99,area_code_481,yes,no,8,268.5179433,148,36.37248144,134.3692614,120,29.09848622,281.1627764,107,30.10112065,16.27492708,13,2.026798056,2,no
AL,35,area_code_631,no,yes,16,112.4172382,131,8.745037979,54.52027305,140,29.46180087,78.12603331,95,43.75788497,16.19984178,19,7.465445647,8,no
MO,1,area_code_251,yes,no,10,115.8118366,124,43.83318305,150.0824671,96,34.42000653,73.72105754,101,15.07577909,18.78013998,10,4.597971836,0,yes
CT,40,area_code_661,no,yes,31,50.16334769,133,26.62519734,187.4692303,128,22.41725054,133.2519083,112,47.35661882,8.661359981,19,4.736670069,3,no
FL,64,area_code_788,no,no,9,267.6672585,113,8.093925789,204.8956482,62,34.12500275,143.3915715,125,31.96034082,14.46570857,5,3.431772976,9,yes
MS,22,area_code_707,yes,yes,21,248.1487033,118,29.73727648,215.8725863,60,7.014577491,103.5750181,109,49.64569121,10.63751355,7,6.269885643,5,yes
AL,60,area_code_716,yes,no,16,206.8322338,132,23.77239255,259.0728283,139,7.432143231,196.2804152,114,9.03261758,16.276433,11,2.259067931,8,no
UT,64,area_code_519,no,no,3,237.566441,135,44.49872322,103.8657268,135,25.57536888,160.7285245,130,10.69529614,14.53829817,14,6.455704653,2,yes
DE,93,area_code_349,no,yes,47,88.01214186,108,14.17975716,80.12045561,141,29.73300355,58.54389726,104,42.19888117,7.99015558,16,2.151089143,2,no
MS,72,area_code_216,no,yes,46,164.5808986,109,42.19090743,262.884293,73,44.95179382,129.9130156,106,43.9140153,7.396802851,18,1.10634733,4,yes
HI,11,area_code_965,no,yes,24,137.8048468,132,30.0959911,89.15320372,142,9.709728526,252.6082284,141,25.04564098,5.796406798,4,3.638398043,6,no
KY,14,area_code_611,no,yes,20,73.44413156,111,7.457463645,293.6900203,122,42.01915672,222.4253837,120,37.13320293,11.95380002,1,2.695833249,4,no
